fetched_at,SETTLEMENTDATE,REGIONID,PRICE,PRICE_STATUS,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,SCHEDULEDGENERATION,SEMISCHEDULEDGENERATION,NETINTERCHANGE
2026-08-21T04:24:14.448Z,2026-08-21T14:25:00,SA1,28.07603,,,,965.05,314.99501,494.13499,-158.58
2026-08-21T04:24:14.448Z,2026-08-21T14:25:00,TAS1,27.76601,,,,967.09,526.79638,294.11362,-146.18
2026-08-21T04:24:14.448Z,2026-08-21T14:25:00,VIC1,27.57972,,,,5722.53,4163.66005,1865.00995,302.7
2026-08-21T04:29:14.725Z,2026-08-21T14:30:00,NSW1,66.53,,,,8020.41,4176.47955,2288.24045,-1464.88
2026-08-21T04:29:14.725Z,2026-08-21T14:30:00,QLD1,-2.15,,,,4784.79,3231.12371,2710.23629,1254.51
2026-08-21T04:29:14.725Z,2026-08-21T14:30:00,SA1,56.35343,,,,836.33,244.99686,600.36314,9.25
2026-08-21T04:29:14.725Z,2026-08-21T14:30:00,TAS1,47.09,,,,966.64,581.3916,285.2484,-100
2026-08-21T04:29:14.725Z,2026-08-21T14:30:00,VIC1,59.46209,,,,5685.82,4268.4384,1907.4616,509.09
2026-08-21T04:34:14.273Z,2026-08-21T14:35:00,NSW1,73.2,,,,7750.31,4220.76043,2168.66957,-1272.07
2026-08-21T04:34:14.273Z,2026-08-21T14:35:00,QLD1,0.04,,,,4843.15,3305.13455,2791.73545,1361.54
2026-08-21T04:34:14.273Z,2026-08-21T14:35:00,SA1,13.88953,,,,923.06,245.00323,661.37677,-14.11
2026-08-21T04:34:14.273Z,2026-08-21T14:35:00,TAS1,15.06,,,,977.21,527.59687,276.72313,-172.89
2026-08-21T04:34:14.273Z,2026-08-21T14:35:00,VIC1,14.86262,,,,5785.14,4138.31134,1943.55866,302.49
2026-08-21T04:39:14.325Z,2026-08-21T14:40:00,NSW1,52.29,,,,7991.48,4283.66738,2218.74262,-1411.53
2026-08-21T04:39:14.325Z,2026-08-21T14:40:00,QLD1,-3.51,,,,4783.64,3362.41802,2687.03198,1357.5
2026-08-21T04:39:14.325Z,2026-08-21T14:40:00,SA1,44.21928,,,,876.06,245.00499,567.21501,-65.24
2026-08-21T04:39:14.325Z,2026-08-21T14:40:00,TAS1,45.1816,,,,992.94,590.99655,298.41345,-103.53
2026-08-21T04:39:14.325Z,2026-08-21T14:40:00,VIC1,45.91,,,,5774.97,4222.25043,1943.35957,397.31
2026-08-21T04:44:14.331Z,2026-08-21T14:45:00,NSW1,52.21,,,,7959.62,4365.72718,2231.67282,-1278.85
2026-08-21T04:44:14.331Z,2026-08-21T14:45:00,QLD1,-3,,,,4866.61,3435.53265,2691.82735,1362.76
2026-08-21T04:44:14.331Z,2026-08-21T14:45:00,SA1,32.05552,,,,885.83,244.99756,570.83244,-67.51
2026-08-21T04:44:14.331Z,2026-08-21T14:45:00,TAS1,33.54781,,,,984.13,587.9993,295.6607,-100.47
2026-08-21T04:44:14.331Z,2026-08-21T14:45:00,VIC1,34,,,,5817.9,4184.25161,1905.59839,276.86
2026-08-21T04:49:14.797Z,2026-08-21T14:50:00,NSW1,20.95844,,,,8198.68,4398.87137,2297.21863,-1430.88
