fetched_at,SOURCE,INTERVAL_DATETIME,REGIONID,POWER,QI,LASTCHANGED
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:30:00,NSW1,4962.658,1,2026/08/24 12:48:56
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:30:00,QLD1,3318.703,0.7,2026/08/24 12:48:56
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:30:00,SA1,351.801,1,2026/08/24 12:48:57
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:30:00,TAS1,126.305,1,2026/08/24 12:48:57
2026-08-24T03:10:35.647Z,MEASUREMENT,2026/08/24 12:30:00,VIC1,2567.464,0.7,2026/08/24 12:48:57
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:00:00,NSW1,4202.339,0.6,2026/08/24 13:20:21
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:00:00,QLD1,2839.358,0.6,2026/08/24 13:20:21
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:00:00,SA1,281.553,0.6,2026/08/24 13:20:22
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:00:00,TAS1,91.495,0.6,2026/08/24 13:20:22
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:00:00,VIC1,2218.727,0.6,2026/08/24 13:20:22
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:30:00,NSW1,4000.993,0.6,2026/08/24 13:50:20
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:30:00,QLD1,2850.933,0.6,2026/08/24 13:50:20
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:30:00,SA1,286.452,0.6,2026/08/24 13:50:20
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:30:00,TAS1,107.779,0.6,2026/08/24 13:50:20
2026-08-24T04:23:24.038Z,SATELLITE,2026/08/24 13:30:00,VIC1,1994.701,0.6,2026/08/24 13:50:20
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:00:00,NSW1,4727.772,1,2026/08/24 13:18:59
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:00:00,QLD1,3352.812,0.7,2026/08/24 13:18:59
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:00:00,SA1,345.476,1,2026/08/24 13:18:59
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:00:00,TAS1,118.921,1,2026/08/24 13:18:59
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:00:00,VIC1,2320.954,0.7,2026/08/24 13:18:59
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:30:00,NSW1,4508.063,0.7,2026/08/24 13:48:53
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:30:00,QLD1,3185.168,0.7,2026/08/24 13:48:53
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:30:00,SA1,337.09,1,2026/08/24 13:48:53
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:30:00,TAS1,137.761,1,2026/08/24 13:48:53
2026-08-24T04:23:24.038Z,MEASUREMENT,2026/08/24 13:30:00,VIC1,1989.717,0.7,2026/08/24 13:48:53
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:00:00,NSW1,3704.917,0.6,2026/08/24 14:20:21
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:00:00,QLD1,2657.068,0.6,2026/08/24 14:20:21
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:00:00,SA1,264.564,0.6,2026/08/24 14:20:22
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:00:00,TAS1,96.794,0.6,2026/08/24 14:20:22
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:00:00,VIC1,1677.772,0.6,2026/08/24 14:20:22
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:30:00,NSW1,3347.83,0.6,2026/08/24 14:50:20
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:30:00,QLD1,2348.937,0.6,2026/08/24 14:50:20
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:30:00,SA1,227.003,0.6,2026/08/24 14:50:20
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:30:00,TAS1,84.643,0.6,2026/08/24 14:50:20
2026-08-24T05:20:37.023Z,SATELLITE,2026/08/24 14:30:00,VIC1,1454.648,0.6,2026/08/24 14:50:20
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:00:00,NSW1,4052.98,0.7,2026/08/24 14:18:56
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:00:00,QLD1,3256.623,0.7,2026/08/24 14:18:57
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:00:00,SA1,298.415,1,2026/08/24 14:18:57
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:00:00,TAS1,143.163,1,2026/08/24 14:18:57
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:00:00,VIC1,1766.667,0.7,2026/08/24 14:18:57
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:30:00,NSW1,3640.079,1,2026/08/24 14:49:00
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:30:00,QLD1,2935.898,0.7,2026/08/24 14:49:00
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:30:00,SA1,229.089,1,2026/08/24 14:49:01
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:30:00,TAS1,115.373,1,2026/08/24 14:49:01
2026-08-24T05:20:37.023Z,MEASUREMENT,2026/08/24 14:30:00,VIC1,1523.94,0.7,2026/08/24 14:49:01
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:00:00,NSW1,2889.223,0.6,2026/08/24 15:20:19
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:00:00,QLD1,2032.787,0.6,2026/08/24 15:20:19
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:00:00,SA1,210.12,0.6,2026/08/24 15:20:19
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:00:00,TAS1,82.221,0.6,2026/08/24 15:20:19
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:00:00,VIC1,1228.262,0.6,2026/08/24 15:20:19
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:30:00,NSW1,2359.169,0.6,2026/08/24 15:50:21
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:30:00,QLD1,1678.109,0.6,2026/08/24 15:50:22
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:30:00,SA1,213.099,0.6,2026/08/24 15:50:22
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:30:00,TAS1,70.584,0.6,2026/08/24 15:50:22
2026-08-24T06:06:03.325Z,SATELLITE,2026/08/24 15:30:00,VIC1,1030.227,0.6,2026/08/24 15:50:22
2026-08-24T06:06:03.325Z,MEASUREMENT,2026/08/24 15:00:00,NSW1,3181.011,1,2026/08/24 15:18:58
2026-08-24T06:06:03.325Z,MEASUREMENT,2026/08/24 15:00:00,QLD1,2542.175,0.7,2026/08/24 15:18:58
2026-08-24T06:06:03.325Z,MEASUREMENT,2026/08/24 15:00:00,SA1,203.136,1,2026/08/24 15:18:58
2026-08-24T06:06:03.325Z,MEASUREMENT,2026/08/24 15:00:00,TAS1,99.875,1,2026/08/24 15:18:58
2026-08-24T06:06:03.325Z,MEASUREMENT,2026/08/24 15:00:00,VIC1,1425.129,0.7,2026/08/24 15:18:59
2026-08-24T06:06:03.325Z,MEASUREMENT,2026/08/24 15:30:00,NSW1,2557.55,1,2026/08/24 15:48:57
2026-08-24T06:06:03.325Z,MEASUREMENT,2026/08/24 15:30:00,QLD1,2131.351,0.7,2026/08/24 15:48:57
